roc_lookback_bars,min_move_pct,volume_mult,take_profit_pct,stop_loss_pct,max_hold_bars,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
2,0.002,,0.003,0.003,10,-4.5,39,41.0,-0.018,9550.0,2,4,33
2,0.002,,0.005,0.003,10,-4.54,39,41.0,-0.0189,9546.0,0,4,35
1,0.0015,,0.003,0.002,20,-4.6,41,39.0,-0.0146,9540.0,5,13,23
5,0.003,,0.003,0.003,20,-4.66,32,34.4,-0.0487,9534.0,5,6,21
5,0.0015,2.0,0.005,0.003,20,-4.66,41,51.2,-0.016,9534.0,2,10,29
5,0.0015,2.0,0.003,0.003,10,-4.72,43,48.8,-0.0124,9528.0,4,7,32
5,0.0015,2.0,0.003,0.002,30,-4.73,43,44.2,-0.0126,9527.0,8,15,20
5,0.0015,2.0,0.003,0.003,20,-4.85,43,53.5,-0.0154,9515.0,6,10,27
5,0.0015,2.0,0.005,0.003,30,-4.89,40,42.5,-0.025,9511.0,3,12,25
5,0.0015,2.0,0.005,0.002,10,-4.93,43,46.5,-0.0175,9507.0,0,13,30
1,0.0015,,0.003,0.002,30,-4.97,41,39.0,-0.0241,9503.0,7,17,17
5,0.0015,2.0,0.003,0.003,30,-5.1,43,46.5,-0.0216,9490.0,9,12,22
2,0.002,,0.003,0.002,30,-5.22,40,40.0,-0.0338,9478.0,6,18,16
2,0.002,,0.003,0.003,30,-5.25,38,44.7,-0.0417,9475.0,6,11,21
2,0.002,,0.003,0.002,20,-5.33,40,37.5,-0.0369,9467.0,5,17,18
5,0.0015,2.0,0.005,0.003,10,-5.38,43,46.5,-0.0284,9462.0,0,8,35
2,0.002,,0.003,0.003,20,-5.4,38,39.5,-0.0459,9460.0,4,7,27
3,0.002,,0.005,0.003,10,-5.79,52,40.4,-0.0144,9421.0,1,5,46
3,0.002,,0.005,0.002,10,-5.87,54,40.7,-0.0119,9413.0,1,14,39
3,0.002,,0.003,0.002,10,-6.47,55,40.0,-0.0215,9353.0,3,15,37
3,0.002,,0.003,0.003,10,-6.48,53,39.6,-0.0263,9352.0,3,6,44
5,0.002,,0.005,0.003,10,-6.92,71,42.3,-0.0008,9308.0,2,6,63
3,0.002,,0.005,0.003,20,-6.98,50,42.0,-0.0444,9302.0,3,12,35
5,0.002,,0.005,0.002,10,-6.99,72,40.3,-0.0004,9301.0,2,14,56
3,0.002,,0.003,0.002,30,-7.02,54,40.7,-0.0346,9298.0,8,25,21
